Estruturas;RMSE;MAE;MAPE
LSTM+attention;41.14319838;41.13452008;0.4931765053
LSTM+attention;41.14807426;41.13938848;0.4932258716
LSTM+attention;41.14317525;41.13449667;0.4931760019
LSTM+attention;41.14316799;41.13448933;0.4931758733
LSTM+attention;41.14318325;41.13450481;0.4931762325
LSTM+attention;41.14316421;41.13448566;0.4931759123
LSTM+attention;41.14315679;41.13447842;0.4931759344
LSTM+attention;41.14316188;41.13448338;0.4931759285
LSTM+attention;41.14309935;41.13442049;0.4931749204
LSTM+attention;41.14316201;41.13448348;0.4931759081
LSTM+attention;41.14318726;41.13450887;0.4931762999
LSTM+attention;41.14313518;41.1344565;0.4931754699
LSTM+attention;41.14312536;41.13444678;0.4931754356
LSTM+attention;41.14319298;41.13451453;0.4931763157
LSTM+attention;41.14320156;41.13452296;0.4931763203
LSTM+attention;41.14320108;41.13452256;0.4931763584
LSTM+attention;41.14317548;41.13449687;0.4931760063
LSTM+attention;41.14317688;41.13449836;0.49317609
LSTM+attention;41.1431685;41.13449003;0.4931760408
LSTM+attention;41.14315199;41.13447376;0.4931759684
LSTM+attention;41.14317961;41.13450123;0.4931762232
LSTM+attention;41.14324368;41.13456522;0.4931769024
LSTM+attention;41.14321252;41.13453407;0.4931765514
LSTM+attention;41.14317035;41.13449181;0.4931759806
LSTM+attention;41.14317787;41.13449935;0.49317612
LSTM+attention;41.14321976;41.13454151;0.493176768
LSTM+attention;41.14315801;41.13447901;0.4931755066
LSTM+attention;41.14316058;41.13448189;0.493175734
LSTM+attention;41.1432291;41.13455053;0.4931767089
LSTM+attention;41.14318228;41.13450391;0.4931762652
LSTM;41.14308757;41.13440898;0.4931749925
LSTM;41.14318957;41.13451096;0.4931761651
LSTM;41.14315753;41.13447892;0.4931757451
LSTM;41.14321893;41.13454042;0.4931766108
LSTM;41.14323707;41.13455877;0.4931769553
LSTM;41.14316225;41.13448368;0.4931758863
LSTM;41.14314097;41.13446205;0.4931753684
LSTM;41.14317934;41.13450104;0.4931762409
LSTM;41.14319638;41.1345179;0.4931763734
LSTM;41.14315681;41.13447832;0.4931758663
LSTM;41.14312545;41.13444648;0.4931751483
LSTM;41.14321346;41.13453506;0.4931766181
LSTM;41.14309679;41.13441781;0.4931748396
LSTM;41.14312619;41.13444757;0.4931754217
LSTM;41.14312215;41.1344438;0.4931755767
LSTM;41.1431775;41.13449866;0.4931758979
LSTM;41.14316522;41.13448675;0.4931759626
LSTM;41.14315956;41.1344809;0.4931757437
LSTM;41.14317278;41.13449419;0.4931759815
LSTM;41.14320107;41.13452246;0.4931763228
LSTM;41.1431606;41.13448209;0.4931758996
LSTM;41.14318602;41.13450758;0.4931762405
LSTM;41.14321349;41.13453526;0.4931767165
LSTM;41.14314292;41.13446443;0.4931757228
LSTM;41.14317147;41.1344929;0.4931759852
LSTM;41.14316311;41.13448427;0.493175696
LSTM;41.14317124;41.1344927;0.493175988
LSTM;41.14315057;41.13447207;0.4931759815
LSTM;41.13450887;41.14317723;0.4931758072
LSTM;41.1344565;41.14318726;0.4931760621
GRU;41.1415849;41.13290707;0.4931587305
GRU;41.14218058;41.13351702;0.4931727621
GRU;41.13938554;41.13072854;0.4931500842
GRU;41.14230461;41.13363794;0.4931722211
GRU;41.14584804;41.13718536;0.4932196179
GRU;41.1439676;41.13530452;0.4931973684
GRU;41.14495507;41.13628248;0.4932026654
GRU;41.14584541;41.13717216;0.4932094778
GRU;41.14383116;41.13513023;0.4931694643
GRU;41.15172573;41.14301079;0.4932486158
GRU;41.14313003;41.13445124;0.4931753011
GRU;41.14060991;41.13194984;0.4931610218
GRU;41.13876706;41.13008903;0.4931263191
GRU;41.13724474;41.12859287;0.4931296108
GRU;41.14309545;41.13440918;0.493168894
GRU;41.1458773;41.13717871;0.4931968286
GRU;41.13564854;41.12698055;0.4930986848
GRU;41.14118893;41.13252834;0.493167802
GRU;41.14439269;41.1357258;0.493194908
GRU;41.14859038;41.13990965;0.4932339986
GRU;41.14327163;41.13458535;0.4931711177
GRU;41.14006019;41.13137123;0.4931337615
GRU;41.14175428;41.1330875;0.4931674087
GRU;41.13950988;41.13082953;0.4931350382
GRU;41.14416315;41.13547791;0.4931819756
GRU;41.14182444;41.1331251;0.4931491762
GRU;41.14499704;41.1363048;0.493187826
GRU;41.13497828;41.12630523;0.493090587
GRU;41.13783985;41.12917862;0.4931291508
GRU;41.14348067;41.13480061;0.4931802632
RNN;1443.653186;1101.289435;12.64489135
RNN;1446.088438;1096.674047;12.62781029
RNN;1442.791761;1097.614924;12.61171825
RNN;1446.966729;1098.401211;12.65233506
RNN;1449.932883;1100.126218;12.67672034
RNN;1443.319685;1095.583886;12.59289205
RNN;1441.911866;1098.757977;12.59436421
RNN;1442.766301;1101.95693;12.6407389
RNN;1446.420723;1098.508977;12.64931713
RNN;1450.673972;1101.106756;12.69142945
RNN;1450.792425;1100.87468;12.68864776
RNN;1455.239309;1103.238747;12.72114211
RNN;1447.339957;1106.43422;12.681756
RNN;1443.787949;1098.246363;12.63121263
RNN;1453.773319;1102.499078;12.71075843
RNN;1448.099742;1098.976978;12.65991339
RNN;1441.497438;1097.868959;12.5911046
RNN;1447.483972;1098.256921;12.6494364
RNN;1455.210081;1103.210296;12.72082834
RNN;1442.406559;1098.031822;12.61277826
RNN;1442.380739;1099.91026;12.59140156
RNN;1449.411845;1100.078797;12.67592202
RNN;1450.076436;1100.901928;12.69034445
RNN;1448.653342;1106.054311;12.66454504
RNN;1441.957435;1097.071602;12.58983518
RNN;1450.064191;1099.404077;12.66660427
RNN;1450.192108;1100.512958;12.68214419
RNN;1444.885363;1099.068235;12.64584265
RNN;1452.15185;1101.527447;12.69693478
RNN;1453.472067;1102.551162;12.7118892
RNN+attention;1451.239896;1101.205805;12.69222311
RNN+attention;1445.284233;1097.027972;12.62203223
RNN+attention;1444.852756;1095.466245;12.59849291
RNN+attention;1443.803632;1096.212235;12.59758169
RNN+attention;1448.695748;1099.407412;12.66649843
RNN+attention;1442.925735;1099.202063;12.62787027
RNN+attention;1446.033479;1096.719961;12.62706139
RNN+attention;1447.469619;1098.585183;12.6529855
RNN+attention;1450.646102;1100.943003;12.68725035
RNN+attention;1449.703179;1099.584604;12.6688557
RNN+attention;1448.781286;1099.52623;12.66772855
RNN+attention;1447.931395;1100.170432;12.67489635
RNN+attention;1447.291325;1098.271269;12.64941295
RNN+attention;1453.086617;1101.861122;12.70172171
RNN+attention;1443.398073;1101.478175;12.65079643
RNN+attention;1446.137315;1105.07653;12.68095151
RNN+attention;1443.711898;1097.327445;12.62045967
RNN+attention;1455.818756;1103.762088;12.7281119
RNN+attention;1452.365641;1101.825996;12.70135428
RNN+attention;1443.855214;1097.602533;12.62375703
RNN+attention;1455.248885;1103.22955;12.72115171
RNN+attention;1447.992225;1099.005839;12.66030515
RNN+attention;1449.375866;1100.886701;12.68605832
RNN+attention;1452.553742;1102.058529;12.70493133
RNN+attention;1448.754785;1099.270537;12.66583493
RNN+attention;1444.802054;1104.092771;12.66339409
RNN+attention;1443.261068;1098.321454;12.62518519
RNN+attention;1443.461626;1098.141516;12.64584874
RNN+attention;1441.815782;1098.01525;12.60430856
RNN+attention;1444.727595;1096.541606;12.61551245
